,artist,album,track,uri,UniqueID,track_uri
133,Verzache,Juvenescence,Juvenescence,spotify:track:5VqCEVBScatH05aM7KbABm,Verzache:Juvenescence,5VqCEVBScatH05aM7KbABm
134,Imagine Dragons,Origins,Natural,spotify:track:2FY7b99s15jUprqC0M5NCT,Imagine Dragons:Natural,2FY7b99s15jUprqC0M5NCT
135,Israel B,Tranquilísimo,Tranquilísimo,spotify:track:3znlxKwQTRVrrerCcZPus2,Israel B:Tranquilísimo,3znlxKwQTRVrrerCcZPus2
136,Dollar Selmouni,Chacho,Chacho,spotify:track:2GYmLDGiihlndEgCItmJCJ,Dollar Selmouni:Chacho,2GYmLDGiihlndEgCItmJCJ
137,The Kooks,Inside In / Inside Out,Naive,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,The Kooks:Naive,7BHPGtpuuWWsvE7cCaMuEU
138,fun.,Some Nights,Some Nights,spotify:track:6t6oULCRS6hnI7rm0h5gwl,fun.:Some Nights,6t6oULCRS6hnI7rm0h5gwl
139,Macklemore & Ryan Lewis,The Heist,BomBom (feat. The Teaching),spotify:track:2Qb6IeCAOtzTJa1mFWCzvP,Macklemore & Ryan Lewis:BomBom (feat. The Teaching),2Qb6IeCAOtzTJa1mFWCzvP
140,Aerosmith,Aerosmith,Dream On,spotify:track:5MxNLUsfh7uzROypsoO5qe,Aerosmith:Dream On,5MxNLUsfh7uzROypsoO5qe
141,The Temper Trap,Conditions,Sweet Disposition,spotify:track:2PLi7OmleXPNBrGLon3sUy,The Temper Trap:Sweet Disposition,2PLi7OmleXPNBrGLon3sUy
142,Alborosie,Soul Pirate,Still Blazing,spotify:track:3sbBOn0ifcgoX3MfaTeFKr,Alborosie:Still Blazing,3sbBOn0ifcgoX3MfaTeFKr
143,La Pegatina,Revulsiu,Ni chicha ni limoná - feat. Dubioza Kolektiv,spotify:track:4d7f3TZWsL1YwIc8vzVMXf,La Pegatina:Ni chicha ni limoná - feat. Dubioza Kolektiv,4d7f3TZWsL1YwIc8vzVMXf
144,Imagine Dragons,Evolve,Thunder,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons:Thunder,1zB4vmk8tFRmM9UULNzbLB
